"##   [1] ""kidney cancer""                                        ",# # [ 1 ]“肾细胞癌”
"##   [2] ""hepatocellular carcinoma (HCC)""                       ",# # [ 2 ]“原发性肝细胞癌（HCC）”
"##   [3] ""lung cancer""                                          ",# # [ 3 ]“肺癌”
"##   [4] ""non-small cell lung cancer (NSCLC)""                   ",# # [ 4 ]“非小细胞肺癌（NSCLC）”
"##   [5] ""ovarian cancer (OC)""                                  ",# # [ 5 ]“卵巢癌（OC）”
"##   [6] ""colorectal cancer""                                    ",# # [ 6 ]“结直肠癌”
"##   [7] ""head and neck squamous cell carcinoma (HNSCC)""        ",# # [ 7 ]”的头部和颈部鳞状细胞癌（鳞癌）”
"##   [8] ""malignant melanoma""                                   ",# # [ 8 ]“恶性黑色素瘤”
"##   [9] ""Oral Squamous Cell Carcinoma (OSCC)""                  ",# # [ 9 ]“口腔鳞状细胞癌（鳞癌）”
"##  [10] ""prostate cancer""                                      ",# # [ 10 ]“前列腺癌”
"##  [11] ""Alzheimer's disease""                                  ",# # [ 11 ]“阿尔茨海默病”
"##  [12] ""breast cancer""                                        ",# # [ 12 ]“乳腺癌”
"##  [13] ""cardiac hypertrophy""                                  ",# # [ 13 ]“心脏肥大”
"##  [14] ""pancreatic ductal adenocarcinoma (PDAC)""              ",# # [ 14 ]“胰腺导管腺癌（PDAC）”
"##  [15] ""uterine leiomyoma (ULM)""                              ",# # [ 15 ]“子宫肌瘤（乌尔姆）”
"##  [16] ""acute myeloid leukemia (AML)""                         ",# # [ 16 ]“急性髓系白血病（AML）”
"##  [17] ""Duchenne muscular dystrophy (DMD)""                    ",# # [ 17 ]“Duchenne型肌营养不良症（DMD）”
"##  [18] ""limb-girdle muscular dystrophies types 2A (LGMD2A)""   ",# # [ 18 ]“肢带型肌营养不良症2A型（LGMD2A）”
"##  [19] ""miyoshi myopathy (MM)""                                ",# # [ 19 ]“Miyoshi肌病（MM）”
"##  [20] ""Insulinoma""                                           ",# # [ 20 ]“胰岛素瘤”
"##  [21] ""acute promyelocytic leukemia (APL)""                   ",# # [ 21 ]“急性早幼粒细胞白血病（APL）”
"##  [22] ""cardiomyopathy""                                       ",# # [ 22 ]“心肌病”
"##  [23] ""diffuse large B-cell lymphoma (DLBCL)""                ",# # [ 23 ]“弥漫性大B细胞淋巴瘤（DLBCL）”
"##  [24] ""epithelial ovarian cancer (EOC)""                      ",# # [ 24 ]“上皮性卵巢癌（EOC）”
"##  [25] ""pancreatic cancer""                                    ",# # [ 25 ]“胰腺癌”
"##  [26] ""psoriasis""                                            ",# # [ 26 ]的“牛皮癣”
"##  [27] ""autism spectrum disorder (ASD)""                       ",# # [ 27 ]“自闭症谱系障碍（ASD）”
"##  [28] ""acute lymphoblastic leukemia (ALL)""                   ",# # [ 28 ]“急性淋巴细胞白血病（ALL）”
"##  [29] ""pituitary adenoma""                                    ",# # [ 29 ]“垂体腺瘤”
"##  [30] ""glioblastoma multiforme (GBM)""                        ",# # [ 30 ]“多形性胶质母细胞瘤（GBM）”
"##  [31] ""chronic pancreatitis""                                 ",# # [ 31 ]“慢性胰腺炎”
"##  [32] ""neuroblastoma (NB)""                                   ",# # [ 32 ]“神经母细胞瘤（NB）”
"##  [33] ""serous ovarian cancer""                                ",# # [ 33 ]“浆液性卵巢癌”
"##  [34] ""vascular disease""                                     ",# # [ 34 ]“血管病”
"##  [35] ""anaplastic thyroid carcinoma (ATC)""                   ",# # [ 35 ]“甲状腺未分化癌（ATC）”
"##  [36] ""Cerebellar neurodegeneration""                         ",# # [ 36 ]“小脑的神经退行性疾病”
"##  [37] ""heart failure""                                        ",# # [ 37 ]“心力衰竭”
"##  [38] ""polycythemia vera (PV)""                               ",# # [ 38 ]“polycythemia vera（PV）”
"##  [39] ""primary biliary cirrhosis (PBC)""                      ",# # [ 39 ]“原发性胆汁性肝硬化（PBC）”
"##  [40] ""nasopharyngeal carcinoma (NPC)""                       ",# # [ 40 ]“鼻咽癌（NPC）”
"##  [41] ""asthma""                                               ",# # [ 41 ]“哮喘”
"##  [42] ""B-cell chronic lymphocytic leukemia""                  ",# # [ 42 ]“B细胞慢性淋巴细胞白血病”
"##  [43] ""dermatomyositis (DM)""                                 ",# # [ 43 ]“皮肌炎（DM）”
"##  [44] ""tongue squamous cell carcinoma""                       ",# # [ 44 ]“舌鳞状细胞癌”
"##  [45] ""retinitis pigmentosa (RP)""                            ",# # [ 45 ]“视网膜色素变性（RP）”
"##  [46] ""Parkinson's disease""                                  ",# # [ 46 ]“帕金森病”
"##  [47] ""testicular germ cell tumor""                           ",# # [ 47 ]“睾丸生殖细胞肿瘤
"##  [48] ""nemaline myopathy (NM)""                               ",# # [ 48 ]“杆状体肌病（NM）”
"##  [49] ""papillary thyroid carcinoma (PTC)""                    ",# # [ 49 ]“甲状腺乳头状癌（PTC）”
"##  [50] ""polymyositis (PM)""                    ",# # [ 50 ]“多发性肌炎（PM）”
"##  [51] ""follicular lymphoma (FL)""                             ",# # [ 51 ]“滤泡性淋巴瘤（FL）”
"##  [52] ""Hodgkin's lymphoma""                                   ",# # [ 52 ]“霍奇金淋巴瘤”
"##  [53] ""facioscapulohumeral muscular dystrophy (FSHD)""        ",# # [ 53 ]“面肩肱型肌营养不良（FSHD）”
"##  [54] ""cholangiocarcinoma""                                   ",# # [ 54 ]“胆管癌”
"##  [55] ""rhabdomyosarcoma""                                     ",# # [ 55 ]“横纹肌肉瘤”
"##  [56] ""myocardial injury""                                    ",# # [ 56 ]“心肌损伤”
"##  [57] ""myocardial infarction""                                ",# # [ 57 ]“心肌梗死”
"##  [58] ""cervical cancer""                                      ",# # [ 58 ]“宫颈癌”
"##  [59] ""cholesteatoma""                                        ",# # [ 59 ]“胆脂瘤”
"##  [60] ""chronic lymphocytic leukemia (CLL)""                   ",# # [ 60 ]“慢性淋巴细胞白血病（CLL）”
"##  [61] ""multiple sclerosis""                                   ",# # [ 61 ]“多发性硬化症”
"##  [62] ""schizophrenia""                                        ",# # [ 62 ]“精神分裂症”
"##  [63] ""type 2 diabetes""                                      ",# # [ 63 ]“2型糖尿病”
"##  [64] ""gastric cancer (stomach cancer)""                      ",# # [ 64 ]“胃癌（胃癌）”
"##  [65] ""neuroblastoma""                                        ",# # [ 65 ]“神经母细胞瘤”
"##  [66] ""Intrahepatic cholangiocarcinoma (ICC)""                ",# # [ 66 ]“Intrahepatic cholangiocarcinoma（ICC）”
"##  [67] ""bladder cancer""                                       ",# # [ 67 ]“膀胱癌”
"##  [68] ""osteosarcoma""                                         ",# # [ 68 ]“骨肉瘤”
"##  [69] ""glioblastoma""                                         ",# # [ 69 ]“胶质母细胞瘤”
"##  [70] ""glioma""                                               ",# # [ 70 ]“神经胶质瘤”
"##  [71] ""medulloblastoma""                                      ",# # [ 71 ]“髓母细胞瘤”
"##  [72] ""Oral Carcinoma""                                       ",# # [ 72 ]“口腔癌”
"##  [73] ""non-alcoholic fatty liver disease (NAFLD)""            ",# # [ 73 ]“非酒精性脂肪性肝病（NAFLD）”
"##  [74] ""esophageal cancer""                                    ",# # [ 74 ]“食管癌”
"##  [75] ""head and neck cancer""                                 ",# # [ 75 ]”的头部和颈部癌症”
"##  [76] ""laryngeal carcinoma""                                  ",# # [ 76 ]“喉癌”
"##  [77] ""essential thrombocythemia (ET)""                       ",# # [ 77 ]“原发性血小板增多症（ET）”
"##  [78] ""primary myelofibrosis""                                ",# # [ 78 ]“原发性骨髓纤维化”
"##  [79] ""Polycystic Kidney Disease""                            ",# # [ 79 ]“多囊肾病”
"##  [80] ""sepsis""                                               ",# # [ 80 ]“脓毒症”
"##  [81] ""acute myelogeneous leukemia (AML)""                    ",# # [ 81 ]“急性髓细胞白血病（AML）”
"##  [82] ""multiple myeloma (MM)""                                ",# # [ 82 ]“多发性骨髓瘤（MM）”
"##  [83] ""mantle cell lymphoma (MCL)""                           ",# # [ 83 ]“套细胞淋巴瘤（MCL）”
"##  [84] ""MYC-rearranged lymphoma""                              ",# # [ 84 ]“MYC重排的淋巴瘤”
"##  [85] ""malignant lymphoma""                                   ",# # [ 85 ]“恶性淋巴瘤”
"##  [86] ""uveal melanoma""                                       ",# # [ 86 ]“葡萄膜黑色素瘤”
"##  [87] ""Down syndrome (DS)""                                   ",# # [ 87 ]“唐氏综合征（DS）”
"##  [88] ""metabolic disease""                                    ",# # [ 88 ]“代谢病”
"##  [89] ""recurrent ovarian cancer""                             ",# # [ 89 ]“复发性卵巢癌
"##  [90] ""HCV infection""               ",# # [ 90 ]“感染”
"##  [91] ""Huntington's disease (HD)""                            ",# # [ 91 ]“亨廷顿病（HD）”
"##  [92] ""cancer""                                               ",# # [ 92 ]“癌症”
"##  [93] ""PFV-1 infection""                                      ",# # [ 93 ]“pfv-1感染”
"##  [94] ""Cowden Syndrome""                                      ",# # [ 94 ]“Cowden综合征”
"##  [95] ""T-cell leukemia""                                      ",# # [ 95 ]“T细胞白血病”
"##  [96] ""Becker muscular dystrophy (BMD)""                      ",# # [ 96 ]“贝克尔型肌营养不良症（BMD）”
"##  [97] ""lupus nephritis""                                      ",# # [ 97 ]“狼疮性肾炎”
"##  [98] ""neurodegeneration""                                    ",# # [ 98 ]“变性”
"##  [99] ""Acute Promyelocytic Leukemia (APL)""                   ",# # [ 99 ]“急性早幼粒细胞白血病（APL）”
"## [100] ""thalassemia""                                          ",# # [ 100 ]“地中海贫血”
"## [101] ""Hepatocellular carcinoma (HCC)""                       ",# # [ 101 ]“原发性肝细胞癌（HCC）”
"## [102] ""endometriosis""                                        ",# # [ 102 ]“子宫内膜异位症”
"## [103] ""medulloblastoma ""                                     ",# # [ 103 ]“髓母细胞瘤”
"## [104] ""renal clear cell carcinoma""                           ",# # [ 104 ]“肾透明细胞癌”
"## [105] ""pulmonary hypertension""                               ",# # [ 105 ]“肺动脉高压”
"## [106] ""adrenocortical carcinoma""                             ",# # [ 106 ]“肾上腺皮质癌”
"## [107] ""squamous carcinoma""                                   ",# # [ 107 ]“鳞状细胞癌”
"## [108] ""Malignant mesothelioma (MM)""                          ",# # [ 108 ]“恶性间皮瘤（MM）”
"## [109] ""myeloproliferative disorder""                          ",# # [ 109 ]“骨髓增生性疾病”
"## [110] ""coronary artery disease""                              ",# # [ 110 ]“冠心病”
"## [111] ""meningioma""                                           ",# # [ 111 ]“脑膜瘤”
"## [112] ""prostate cance""                                       ",# # [ 112 ]“前列腺癌”
"## [113] ""prion disease""                                        ",# # [ 113 ]“朊病毒”
"## [114] ""retinoblastoma""                                       ",# # [ 114 ]视网膜母细胞瘤”
"## [115] ""anxiety disorder""                                     ",# # [ 115 ]“焦虑症”
"## [116] ""chronic myeloid leukemia (CML)""                       ",# # [ 116 ]“慢性粒细胞白血病（CML）”
"## [117] ""skin disease""                                         ",# # [ 117 ]“皮肤病”
"## [118] ""homozygous sickle cell disease (HbSS)""                ",# # [ 118 ]“纯合子镰状细胞病（HBSS）”
"## [119] ""congenital heart disease""                             ",# # [ 119 ]“先天性心脏病”
"## [120] ""Burkitt lymphoma""                                     ",# # [ 120 ]“伯基特淋巴瘤”
"## [121] ""endometrial cancer""                                   ",# # [ 121 ]“子宫内膜癌”
"## [122] ""Inclusion body myositis (IBM)""                        ",# # [ 122 ]“包涵体肌炎（IBM）”
"## [123] ""hearing loss""                                         ",# # [ 123 ]“耳聋”
"## [124] ""melanoma""                                             ",# # [ 124 ]“黑色素瘤”
"## [125] ""Waldenstrom Macroglobulinemia (WM)""                   ",# # [ 125 ]“Waldenstrom Macroglobulinemia（WM）”
"## [126] ""diabetic nephropathy""                                 ",# # [ 126 ]“糖尿病肾病”
"## [127] ""thyroid cancer""                                       ",# # [ 127 ]“甲状腺癌”
"## [128] ""lymphoproliferative disease""                          ",# # [ 128 ]“淋巴病”
"## [129] ""Obesity""                                              ",# # [ 129 ]“肥胖”
"## [130] ""Spinocerebellar ataxia 1""                             ",# # [ 130 ]“脊髓小脑共济失调1型”
"## [131] ""alcoholic liver disease (ALD)""                        ",# # [ 131 ]“酒精性肝病（ALD）”
"## [132] ""Polycystic liver disease""                             ",# # [ 132 ]“多囊肝”
"## [133] ""teratocarcinoma""                                      ",# # [ 133 ]“畸胎瘤”
"## [134] ""ulcerative colitis (UC)""                              ",# # [ 134 ]“溃疡性结肠炎（UC）”
"## [135] ""vesicular stomatitis""                                 ",# # [ 135 ]“水泡性口炎”
"## [136] ""Glomerulosclerosis""                                   ",# # [ 136 ]“硬化”
"## [137] ""B-cell lymphoma""                                      ",# # [ 137 ]“B细胞淋巴瘤”
"## [138] ""glomerular disease""                                   ",# # [ 138 ]“肾小球疾病”
"## [139] ""follicular thyroid carcinoma (FTC)""                   ",# # [ 139 ]“甲状腺滤泡癌（FTC）”
"## [140] ""hypertension""                    ",# # [ 140 ]“高血压”
"## [141] ""adenoma""                                              ",# # [ 141 ]“腺瘤”
"## [142] ""hamartoma""                                            ",# # [ 142 ]“错构瘤”
"## [143] ""lipoma""                                               ",# # [ 143 ]“脂肪瘤”
"## [144] ""myoma""                                                ",# # [ 144 ]“肌瘤”
"## [145] ""sarcoma""                                              ",# # [ 145 ]“肉瘤”
"## [146] ""neutrophilia""                                         ",# # [ 146 ]“中性”
"## [147] ""diarrhea predominant irritable bowel syndrome (IBS-D)""",# # [ 147 ]“腹泻型肠易激综合征（IBS-D）”
"## [148] ""HBV-related cirrhosis""                                ",# # [ 148 ]“乙肝肝硬化”
"## [149] ""frontotemporal dementia""                              ",# # [ 149 ]“额颞叶痴呆”
"## [150] ""rhabdomyosarcoma (RMS)""                               ",# # [ 150 ]“横纹肌肉瘤（RMS）”
"## [151] ""Head and neck cancer""                                 ",# # [ 151 ]”的头部和颈部癌症”
"## [152] ""tourette's syndrome""",# # [ 152 ]“抽动秽语综合征”
